participant,index,condition_1,condition_2,model_type,resolution,rating,trial_duration,n_collisions,standardized_rating,standardized_trial_duration,standardized_n_collisions
HC12,207,CE6,complex,Canny,2500.0,7.5,27.535,0.5,0.893819357296686,-1.5445863152506158,-0.6305382891081347
HC13,208,CE6,complex,Canny,2500.0,8.5,14.05,0.0,1.3381609033201511,-1.0246040095559699,-0.8456017815031824
HC14,209,CE6,complex,Canny,2500.0,9.0,16.47,0.0,1.1076179428929442,-1.0428673331560405,-0.7988305528088171
HC15,210,CE6,complex,Canny,2500.0,8.0,25.295,0.0,1.0175264739853016,-1.0157325096531187,-0.47850943338967455
HC16,211,CE6,complex,Canny,2500.0,7.5,18.545,0.0,1.684453960630088,-1.49888586974413,-0.8159007924950823
HC17,212,CE6,complex,Canny,2500.0,10.0,22.060000000000002,0.0,1.2876459295848701,-1.0778698867422656,-0.746458067571856
HC18,213,CE6,complex,Canny,2500.0,8.5,21.615000000000002,0.0,1.8449262044277048,-1.497263594018906,-0.5187042713839326
HC19,214,CE6,complex,Canny,2500.0,5.5,27.97,0.0,0.9532333639533638,-1.3309530947571009,-0.9099134046746854
HC20,215,CE6,complex,Canny,2500.0,7.5,23.405,0.0,1.086225042973218,-1.2423438286190929,-0.8612257448725231
HC21,216,CE6,complex,Canny,2500.0,8.0,32.400000000000006,0.5,0.8391306193683652,-1.1700945717598277,-0.2238906959818522
HC22,217,CE6,complex,Canny,2500.0,9.0,14.275,0.0,1.2818139929264332,-0.9312194895110764,-0.499312714451762
HC23,218,CE6,complex,Canny,2500.0,8.0,26.305,0.0,0.8015830836833157,-1.3558657162916097,-0.7847554707590663
HC24,219,CE6,complex,Canny,2500.0,6.5,23.68,0.0,1.521507123719032,-1.1556171928834356,-0.5974246761348433
HC04,220,CE6,simple,Canny,2500.0,6.0,31.865000000000002,0.5,0.42008402520840293,-0.09879462835648486,-0.2843883310154694
HC05,221,CE6,simple,Canny,2500.0,8.5,19.685000000000002,0.0,1.264523206719341,-0.976453219692799,-0.5620224837470443
HC06,222,CE6,simple,Canny,2500.0,7.5,21.134999999999998,0.0,0.9588696783424103,-1.2625112107072431,-0.5175998872460718
HC07,223,CE6,simple,Canny,2500.0,7.0,16.215,0.0,1.3572793627944926,-1.3417850195035586,-0.6538704272846056
HC08,224,CE6,simple,Canny,2500.0,6.5,19.29,0.0,0.6910820064381951,-1.0923878318903608,-0.9845639021913715
HC09,225,CE6,simple,Canny,2500.0,9.0,18.73,0.0,1.0157666764133184,-0.8483531356644503,-0.6412481766824645
HC11,226,CE6,simple,Canny,2500.0,7.0,17.89,0.5,0.9578080990151192,-1.2595828670876614,-0.6099375455928332
HC12,227,CE6,simple,Canny,2500.0,8.0,38.23,0.0,1.1491963165243106,-0.6438123175827781,-1.004190608579622
HC13,228,CE6,simple,Canny,2500.0,8.0,14.995000000000001,0.0,1.0564428184106456,-0.8302493159856992,-0.8456017815031824
HC14,229,CE6,simple,Canny,2500.0,8.5,16.87,0.0,0.8966430966276216,-0.9915774620102732,-0.7988305528088171
HC15,230,CE6,simple,Canny,2500.0,8.0,31.96,0.0,1.0175264739853016,-0.6881472173411665,-0.47850943338967455
HC16,231,CE6,simple,Canny,2500.0,6.5,22.134999999999998,0.0,0.9844211458227786,-1.0445893530668076,-0.8159007924950823
HC17,232,CE6,simple,Canny,2500.0,8.0,25.765,0.0,0.4201791980750629,-0.718781840849934,-0.746458067571856
